second,count
10,1
10,1
21,1
22,1
22,3
3,1
8,1
9,1
16,1
17,1
0,5
1,5
2,0
3,1
4,0
5,24
6,39
7,14
8,11
8,1
9,25
10,44
11,36
12,24
13,14
13,1
14,7
14,2
15,12
15,0
16,22
16,2
17,10
18,3
18,1
19,12
20,12
21,9
22,7
23,7
9,2
10,1
10,3
11,0
11,2
12,1
12,2
13,2
13,1
14,1
14,1
15,0
15,1
16,2
16,1
17,1
17,3
18,1
18,1
19,1
20,2
21,2
22,0
23,1
16,1
1,2
3,0
4,0
6,1
7,2
8,0
9,3
9,1
10,0
10,2
11,0
11,1
12,0
12,0
13,1
13,0
14,0
14,1
15,1
15,0
16,0
16,0
17,1
17,0
18,0
18,1
19,1
19,0
20,1
20,2
21,0
21,0
22,0
22,1
23,1
11,1
1,1
2,0
3,1
4,0
5,0
6,2
7,0
8,0
9,3
10,1
11,3
12,5
12,1
13,0
13,1
14,1
14,1
15,3
16,1
17,1
18,0
19,0
20,2
21,1
3,1
10,4
10,1
11,2
12,1
12,1
13,0
14,0
15,1
16,3
17,0
18,1
19,2
8,1
8,1
9,1
10,2
11,1
12,0
13,0
14,0
15,1
16,1
19,0
21,1
22,1
23,2
9,1
9,4
10,1
0,2
8,1
9,1
10,2
11,1
12,1
13,3
14,0
15,0
16,0
16,1
17,2
17,1
18,0
19,0
20,2
0,1
1,2
2,0
3,0
4,0
5,1
6,7
7,1
8,3
9,1
10,2
11,3
12,1
13,2
14,4
15,4
16,1
17,2
18,2
18,1
19,0
20,1
21,2
22,2
0,1
1,0
2,1
3,1
5,0
6,0
8,1
9,1
10,3
10,1
11,1
11,1
12,0
12,0
13,0
13,0
14,2
14,1
15,0
15,0
16,1
16,1
17,0
17,0
18,0
18,1
19,0
19,1
20,1
20,1
21,0
21,1
22,0
22,1
23,1
7,1
8,0
9,3
10,1
19,1
10,1
17,1
22,1
14,1
14,1
22,1
0,1
3,0
6,1
7,1
8,2
9,3
10,3
11,3
11,1
12,2
13,2
14,4
15,0
16,3
17,3
18,2
18,1
18,1
18,1
19,1
19,0
20,6
20,0
21,2
21,0
22,0
22,1
23,1
23,1
18,1
2,1
17,1
0,1
1,2
2,0
3,3
4,1
5,1
6,1
7,2
7,1
8,1
9,5
9,1
10,2
10,1
11,6
12,3
12,0
13,1
13,0
14,2
15,2
15,1
16,6
16,0
16,1
17,2
17,3
17,1
18,3
18,0
18,1
19,3
19,0
19,0
20,5
20,1
20,1
21,4
21,0
22,4
22,0
23,4
23,1
3,1
10,1
16,1
19,1
0,1
2,0
3,0
5,1
6,1
7,4
8,4
9,2
9,2
10,3
10,1
11,0
11,1
12,0
13,2
13,1
14,4
15,1
16,2
17,2
18,0
18,1
19,1
19,5
20,1
21,0
22,0
23,2
10,1
13,1
19,1
0,2
0,2
1,1
1,1
1,1
2,2
3,0
4,1
6,3
7,2
8,2
8,1
9,3
9,1
10,3
10,1
11,3
11,1
11,1
12,1
12,2
13,0
13,1
14,3
14,2
15,3
15,2
16,4
16,2
17,3
17,1
18,4
18,2
19,3
19,3
19,1
20,4
20,0
20,0
21,4
21,3
21,1
22,2
22,3
22,0
23,2
23,1
20,1
1,1
2,0
3,0
4,0
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,2
13,0
14,1
15,1
16,1
17,0
18,3
19,3
20,1
21,1
21,2
22,1
23,1
19,1
0,1
1,1
2,0
3,1
4,0
5,0
6,1
7,1
8,3
9,3
10,2
11,1
12,2
13,2
14,2
15,1
16,3
16,1
17,2
18,3
19,7
20,1
21,0
22,1
23,2
1,2
10,1
12,1
14,1
18,1
19,1
12,1
20,1
22,2
10,1
11,2
12,1
16,1
23,1
6,1
9,1
15,1
4,1
10,1
13,1
21,1
0,1
1,0
2,0
3,1
4,1
5,0
6,0
7,3
8,3
9,5
9,5
9,1
10,3
10,3
11,2
12,5
13,2
14,1
15,2
16,0
17,1
18,1
19,0
19,2
20,0
21,1
17,1
0,6
1,3
2,1
3,1
3,1
4,1
5,1
6,3
7,6
7,1
8,6
8,1
9,4
9,0
9,1
10,15
10,2
11,7
11,3
11,1
12,6
12,1
12,1
12,1
13,4
13,1
13,0
14,11
14,0
14,0
15,12
15,2
15,1
16,14
16,0
16,0
17,8
17,0
17,0
18,9
18,1
18,2
19,17
19,3
19,4
20,12
20,3
20,0
21,17
21,1
21,1
22,16
23,15
16,1
2,1
9,1
0,219
0,9
0,1
0,7
1,112
1,1
1,5
2,90
2,0
2,1
2,5
3,73
3,1
3,0
3,0
3,3
4,87
4,0
4,2
4,0
5,253
5,0
5,4
5,1
5,7
6,307
6,1
6,8
6,0
6,2
6,8
7,224
7,3
7,11
7,4
7,0
7,7
8,202
8,2
8,12
8,4
8,1
8,10
9,341
9,1
9,9
9,3
9,1
9,14
10,514
10,1
10,12
10,1
10,9
11,577
11,7
11,4
11,18
12,505
12,2
12,13
12,5
12,22
13,484
13,10
13,4
13,20
14,438
14,11
14,1
14,16
15,478
15,2
15,12
15,3
15,7
16,452
16,0
16,9
16,3
16,12
17,485
17,1
17,9
17,5
17,11
18,520
18,1
18,11
18,0
18,19
19,457
19,4
19,14
19,1
19,14
20,422
20,0
20,11
20,3
20,14
21,520
21,1
21,5
21,6
21,22
22,435
22,0
22,14
22,2
22,18
23,267
23,1
23,14
23,2
23,12
0,188
0,1
0,14
0,2
0,5
1,108
1,2
2,82
2,0
2,0
3,51
3,0
3,0
3,2
4,47
4,0
5,84
5,3
5,1
6,133
6,2
6,17
6,5
6,4
7,158
7,1
7,30
7,5
7,4
8,185
8,2
8,19
8,8
8,6
9,226
9,2
9,22
9,5
9,17
10,196
10,2
10,21
10,3
10,8
11,298
11,19
11,6
11,16
12,317
12,1
12,19
12,5
12,8
13,390
13,23
13,8
13,14
14,298
14,1
14,21
14,5
14,11
15,371
15,1
15,26
15,4
15,9
16,304
16,23
16,8
16,12
17,386
17,21
17,5
17,16
18,363
18,1
18,26
18,5
18,13
19,377
19,1
19,27
19,6
19,8
20,367
20,0
20,24
20,6
20,11
21,474
21,0
21,17
21,4
21,19
22,367
22,1
22,18
22,5
22,14
23,223
23,18
23,6
23,17
7,1
8,1
9,0
10,0
11,1
12,0
13,0
14,0
15,1
18,0
21,1
21,1
1,1
3,0
4,0
6,2
7,1
8,0
9,1
9,1
10,6
10,3
11,6
11,1
11,0
12,5
12,0
12,1
13,2
13,0
13,2
14,4
14,1
14,4
15,5
15,1
16,3
16,0
17,4
17,0
18,3
18,0
19,4
19,3
20,5
20,1
21,6
21,1
22,2
23,6
0,7
0,2
1,3
1,1
2,4
2,2
2,1
3,7
3,6
3,0
4,3
4,0
5,2
5,1
6,0
7,3
8,1
9,4
10,4
11,7
11,1
12,7
12,0
13,8
13,1
14,7
14,0
14,1
15,8
15,1
15,1
16,6
16,0
16,1
17,4
17,0
18,5
18,2
19,9
19,3
20,5
20,3
21,9
21,2
22,14
22,2
23,15
18,1
19,1
20,1
22,1
10,1
6,1
7,0
8,1
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,1
23,1
11,1
16,1
6,1
7,0
7,1
8,2
8,0
9,4
9,0
10,0
10,1
11,3
12,0
13,1
14,0
15,2
16,2
17,1
18,1
19,0
19,1
20,1
21,0
22,0
23,2
2,1
3,1
4,1
5,0
6,1
7,0
8,0
9,1
12,0
15,1
15,1
16,3
17,2
18,2
19,3
20,1
21,1
21,1
22,1
23,1
15,1
2,1
4,0
5,0
7,1
8,0
9,0
10,1
10,1
11,0
12,2
13,0
14,0
15,1
16,2
17,0
18,2
19,0
20,1
13,1
15,1
20,1
0,1
0,1
1,0
1,1
2,0
3,0
4,1
10,1
12,1
12,1
13,0
14,2
15,1
16,5
16,1
17,3
18,1
18,1
19,1
20,1
21,1
22,3
0,3
6,2
7,1
8,3
9,0
9,1
9,5
9,1
10,1
10,1
11,1
12,0
13,1
13,0
13,1
14,2
15,0
16,1
16,1
17,3
18,2
19,1
23,1
9,1
10,1
11,1
18,1
21,1
23,1
0,1
1,0
2,0
3,0
4,1
5,0
6,0
7,2
8,2
9,3
9,2
10,2
10,0
11,0
11,2
12,1
12,1
13,1
13,1
14,1
14,1
15,0
15,1
16,2
16,0
17,0
17,1
18,2
18,1
19,2
19,0
20,1
20,1
21,3
22,1
23,1
9,2
17,1
21,1
22,1
22,1
0,5
0,2
0,1
0,2
0,1
1,2
1,3
1,0
1,3
1,0
2,5
2,2
2,0
2,3
2,1
3,4
3,1
3,0
3,2
4,6
4,2
4,1
4,1
5,28
5,0
5,0
5,3
6,40
6,1
6,1
6,0
6,1
7,37
7,0
7,2
7,1
8,26
8,0
8,2
8,0
9,19
9,0
9,2
9,1
9,1
10,35
10,1
10,2
10,1
11,38
11,3
11,2
12,23
12,2
12,1
13,18
13,1
13,1
13,1
13,1
14,14
14,1
14,2
14,0
15,19
15,2
15,3
16,16
16,1
16,2
17,22
17,2
17,2
18,20
18,1
18,2
18,2
19,15
19,2
19,1
20,10
20,0
20,2
20,0
21,23
21,0
21,2
21,1
21,0
22,26
22,2
22,1
22,3
23,25
23,1
23,2
23,3
18,1
22,1
21,1
10,1
11,2
17,1
19,1
20,1
22,1
0,1
2,0
3,0
5,8
6,47
6,1
7,32
7,1
8,9
8,0
9,11
9,2
9,2
10,33
10,3
11,67
11,1
11,1
12,36
12,0
13,26
13,1
14,23
14,0
15,16
15,1
16,13
16,1
17,8
17,1
18,2
18,1
19,1
19,1
20,0
21,0
22,1
23,1
4,3
5,44
5,1
6,64
6,1
7,24
8,6
9,15
10,30
11,35
12,16
13,6
14,8
15,11
16,5
17,3
18,1
19,4
20,5
20,1
21,5
21,1
21,1
22,5
22,1
23,6
0,3
1,1
1,1
2,1
4,0
5,0
7,2
8,3
8,5
9,1
9,5
10,3
10,2
11,0
11,3
12,2
12,4
13,5
13,5
14,2
14,2
15,0
15,5
16,1
16,3
17,2
17,4
18,2
18,3
19,2
19,6
20,1
20,7
21,1
21,5
22,4
23,5
0,1
5,41
6,115
6,1
7,59
7,1
8,15
8,1
9,20
9,0
10,53
10,0
11,63
11,1
12,38
13,6
14,5
14,1
15,7
15,0
16,9
16,1
17,3
17,0
18,2
18,1
18,1
19,2
20,3
20,0
21,4
21,0
22,1
23,1
5,1
14,1
15,0
16,1
17,0
18,2
19,0
20,1
20,1
23,1
21,3
0,1
7,1
8,1
9,0
10,1
11,1
12,1
13,1
16,0
19,1
20,1
21,0
22,1
7,1
8,2
8,1
8,1
9,3
9,2
10,2
11,2
12,5
13,8
14,3
15,0
16,1
17,0
18,0
19,2
4,1
7,1
8,3
9,0
10,1
11,1
12,0
12,1
13,1
13,0
14,0
14,0
15,1
15,1
16,1
16,0
17,0
17,1
18,0
18,0
19,1
19,0
20,1
20,1
21,0
22,0
23,1
0,3
0,2
1,4
1,1
1,1
2,1
3,3
4,2
5,1
6,15
6,1
7,15
8,25
8,1
8,1
9,33
9,0
10,22
10,1
11,24
12,12
12,0
13,18
13,0
14,19
15,22
15,1
15,1
16,28
16,2
16,0
16,0
17,14
17,1
17,3
18,20
18,0
18,1
19,8
19,1
19,1
19,0
20,14
20,1
20,0
21,8
21,0
22,18
22,1
23,14
0,2
1,2
2,0
3,1
4,0
4,2
5,0
6,2
6,1
7,3
8,5
9,8
9,1
10,3
11,0
12,4
13,0
13,1
14,0
14,0
15,4
15,0
16,2
