PRESNATN_DAYHMINSEC,WTCD_RGDVS_CD,WTCD_RGDVS,PRSNT_WETHER_CN,NOPHN_CD,VSBT_DIST,ALL_CLAM,MFALF_CLAM,ACLF,PRSNT_CELSTEMP,DWP_CELSTEMP,DSFX,FEEL_CELSTEMP,TOP_CELSTEMP,NMYR_TOP_CELSTEMP,CTNY_TOP_CELSTEMP,LWST_CELSTEMP,NMYR_LWST_CELSTEMP,CTNY_LWST_CELSTEMP,DAY_PRCPT,PCNTS_PRCPT,NW_MSNF,MSNF,RLTV_HMDT,WNDRC_CN,WIND_MPS,LAST_CHANGE_DAYHMINSEC
2026033117,271,봉화,?먮┝,-99.0,23.11,10,10,-99.0,11.2,5.0,-99,-99,-99,-99,-99,-99,-99,-99.0,15.9,-99,-99,-99.0,66.0,7.0,1.8,203000.0
2026040114,982,,留묒쓬,-99.0,-99.0,-99,-99,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,,-99.0,203000.0
2026040414,143,대구,?먮┝,-99.0,46.77,9,4,-99.0,17.5,12.1,-99,-99,-99,-99,-99,-99,-99,-99.0,36.3,-99,-99,-99.0,71.0,25.0,3.4,202604.0
2026040204,140,군산,留묒쓬,-99.0,4.67,0,0,-99.0,5.1,3.2,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,88.0,7.0,1.6,202604.0
2026040201,235,보령,留묒쓬,-99.0,7.51,0,0,-99.0,3.4,1.5,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,88.0,0.0,0.4,202604.0
2026040603,259,강진군,援щ쫫留롮쓬,-99.0,14.3,6,6,-99.0,9.4,7.5,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,88.0,9.0,0.6,202604.0
2026040321,165,목포,?쏀븳鍮꾧퀎??留ㅼ떆3mm?댄븯),61.0,6.96,10,7,-99.0,14.0,12.2,-99,-99,-99,-99,-99,-99,-99,-99.0,1.0,-99,-99,-99.0,89.0,14.0,3.0,202604.0
2026040308,112,인천,諛뺣Т,10.0,2.29,10,10,-99.0,7.9,6.5,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,91.0,16.0,2.2,202604.0
2026040508,140,군산,援щ쫫留롮쓬,-99.0,18.99,8,7,-99.0,7.8,2.8,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,71.0,5.0,1.5,202604.0
2026040215,245,정읍,留묒쓬,-99.0,14.35,0,0,-99.0,17.3,4.9,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,44.0,27.0,2.6,202604.0
2026033121,104,북강릉,諛뺣Т,10.0,7.64,7,7,-99.0,8.1,7.9,-99,-99,-99,-99,-99,-99,-99,-99.0,27.2,-99,-99,-99.0,99.0,18.0,0.7,203000.0
2026040712,981,,留묒쓬,-99.0,-99.0,-99,-99,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,,-99.0,202604.0
2026040509,108,서울,諛뺣Т,10.0,9.92,9,9,-99.0,8.8,3.6,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,70.0,18.0,2.7,202604.0
2026040410,170,완도,?먮┝,-99.0,50.0,9,4,-99.0,16.2,11.5,-99,-99,-99,-99,-99,-99,-99,-99.0,64.8,-99,-99,-99.0,74.0,34.0,4.8,202604.0
2026040222,192,진주,留묒쓬,-99.0,50.0,0,0,-99.0,8.8,0.9,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,58.0,0.0,0.1,202604.0
2026040120,271,봉화,?먮┝,-99.0,5.22,10,5,-99.0,10.2,9.5,-99,-99,-99,-99,-99,-99,-99,-99.0,6.8,-99,-99,-99.0,96.0,0.0,0.4,203000.0
2026040316,170,완도,?먮┝,-99.0,5.46,10,0,-99.0,16.1,10.4,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,69.0,11.0,4.4,202604.0
2026040721,232,천안,留묒쓬,-99.0,49.94,0,0,-99.0,6.2,-2.4,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,54.0,25.0,1.0,202604.0
2026040711,266,광양시,留묒쓬,-99.0,48.8,0,0,-99.0,14.9,-9.2,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,18.0,36.0,1.8,202604.0
2026040514,140,군산,留묒쓬,-99.0,21.32,0,0,-99.0,13.8,5.4,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,57.0,25.0,3.3,202604.0
2026040108,238,금산,援щ쫫留롮쓬,-99.0,35.34,8,7,-99.0,12.3,9.4,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,83.0,14.0,1.1,203000.0
2026040213,257,양산시,留묒쓬,-99.0,32.75,0,0,-99.0,20.0,2.7,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,32.0,32.0,2.5,202604.0
