Date,Value
09/01/1995,17.54
11/01/1990,29.08
10/01/2010,81.45
01/01/1977,13.9
11/01/1957,3.07
05/01/2021,66.31
12/01/1966,2.97
01/01/2010,72.85
12/01/1999,25.76
09/01/1954,2.82
04/01/1989,20.38
12/01/1998,12.14
09/01/2014,91.17
03/01/1976,12.1
06/01/1967,3.0
05/01/1980,39.5
03/01/1984,30.85
09/01/1982,35.63
12/01/1979,32.5
04/01/1966,2.92
05/01/1950,2.57
03/01/1966,2.92
04/01/2000,25.71
02/01/1974,10.11
03/01/2001,26.37
10/01/1964,2.92
01/01/1970,3.35
12/01/2013,98.17
10/01/2006,58.72
11/01/1958,3.0
06/01/1985,26.87
01/01/2019,53.84
02/01/1963,2.97
02/01/1949,2.57
09/01/1968,3.07
11/01/2005,57.33
08/01/1990,27.45
11/01/1971,3.56
02/01/1967,3.0
04/01/1998,15.56
02/01/1965,2.92
05/01/1998,15.21
03/01/2010,83.45
04/01/1960,2.97
09/01/1971,3.56
05/01/2001,28.39
07/01/2025,70.31
11/01/1992,19.91
07/01/2022,101.31
07/01/2023,81.8
04/01/1993,20.54
02/01/1950,2.57
10/01/1994,18.16
10/01/1954,2.82
02/01/1997,20.3
11/01/1984,27.31
09/01/2008,100.7
07/01/1993,17.94
01/01/1950,2.57
04/01/1978,14.85
05/01/1969,3.35
05/01/2000,29.03
02/01/1987,16.45
04/01/1957,3.07
04/01/1962,2.97
04/01/1952,2.57
07/01/2012,88.08
08/01/2001,26.65
01/01/1981,38.0
05/01/1994,18.3
10/01/1983,30.37
01/01/1999,12.81
01/01/1969,3.07
04/01/1988,18.1
03/01/1996,21.43
11/01/2000,33.61
10/01/2022,86.54
07/01/1973,3.56
10/01/2003,29.24
04/01/1985,27.63
05/01/1961,2.97
10/01/1982,35.68
11/01/2010,84.12
06/01/1977,13.9
12/01/1976,13.9
06/01/1968,3.07
12/01/1977,14.85
02/01/1980,37.0
05/01/1956,2.82
06/01/1966,2.92
01/01/1972,3.56
08/01/2016,44.68
11/01/1946,1.52
04/01/2007,65.78
09/01/1980,36.0
01/01/2012,98.46
04/01/1973,3.56
10/01/1952,2.57
07/01/2014,98.23
07/01/1962,2.97
03/01/1952,2.57
10/01/2013,96.29
05/01/1997,21.0
04/01/1946,1.27
11/01/1973,4.31
12/01/1946,1.62
01/01/1951,2.57
02/01/1982,31.56
12/01/1978,14.85
03/01/1950,2.57
11/01/2001,19.46
06/01/1956,2.82
06/01/2009,69.82
02/01/1958,3.07
04/01/1956,2.82
09/01/1970,3.31
01/01/1974,10.11
03/01/2013,97.24
01/01/2000,27.65
10/01/1989,19.88
01/01/1979,14.85
12/01/2008,44.6
12/01/2020,48.35
07/01/1947,1.87
12/01/1996,25.9
01/01/1998,17.21
03/01/1965,2.92
04/01/2002,27.32
09/01/1993,18.72
12/01/2016,53.75
11/01/1978,14.85
12/01/1988,17.12
12/01/1972,3.56
08/01/1975,11.16
04/01/2012,104.89
02/01/2016,32.74
09/01/1962,2.97
06/01/1946,1.27
02/01/1999,12.31
04/01/2026,97.95
03/01/2016,36.94
05/01/1948,2.57
01/01/1985,26.41
01/01/1994,15.24
12/01/1957,3.0
02/01/1983,28.95
05/01/2017,48.29
01/01/1983,31.19
08/01/2014,97.86
11/01/1980,36.0
08/01/2013,107.98
10/01/2012,86.23
09/01/1946,1.52
01/01/2009,41.73
06/01/1978,14.85
07/01/1951,2.57
10/01/1999,21.79
10/01/2024,70.62
06/01/2014,106.07
09/01/2011,78.93
06/01/1999,19.33
12/01/1974,11.16
01/01/1989,17.0
01/01/1955,2.82
09/01/1957,3.07
09/01/1977,14.85
03/01/1990,20.34
03/01/1986,10.25
08/01/1973,4.31
05/01/2004,39.9
10/01/2020,35.64
03/01/1953,2.57
04/01/1979,15.85
07/01/1990,20.57
04/01/1980,39.5
08/01/1967,3.07
10/01/2009,77.04
02/01/2009,44.15
11/01/1963,2.97
07/01/1955,2.82
01/01/1964,2.97
12/01/2011,98.83
05/01/1986,14.3
05/01/2023,68.11
08/01/2011,88.81
02/01/1960,2.97
05/01/1984,30.83
10/01/1986,15.25
05/01/2022,114.38
02/01/1971,3.56
08/01/1974,10.11
04/01/2018,68.56
05/01/1983,30.25
01/01/2004,33.16
09/01/2007,81.64
09/01/1972,3.56
07/01/1957,3.07
06/01/1995,17.38
07/01/1978,14.85
08/01/1964,2.92
10/01/1967,3.07
12/01/1989,21.84
07/01/2016,41.54
07/01/1988,16.37
10/01/1947,1.87
10/01/1950,2.57
09/01/2001,23.44
09/01/1947,1.87
07/01/2003,30.56
10/01/1985,30.38
01/01/1988,16.97
09/01/1996,24.2
07/01/1958,3.07
10/01/1977,14.85
04/01/1976,12.17
01/01/2022,89.16
05/01/1993,20.04
06/01/1997,19.82
04/01/2004,37.31
05/01/1976,12.17
07/01/2010,78.85
12/01/2017,60.46
10/01/1966,2.97
06/01/1953,2.82
09/01/1992,21.83
08/01/2015,49.2
06/01/2018,74.13
02/01/2007,61.78
12/01/1980,37.0
04/01/1954,2.82
02/01/1975,11.16
07/01/1986,11.23
02/01/2008,101.78
09/01/1986,14.7
04/01/1981,38.0
04/01/2017,49.31
04/01/1961,2.97
08/01/1984,29.23
03/01/1972,3.56
09/01/2016,47.72
06/01/1971,3.56
01/01/2011,90.99
12/01/2009,79.39
07/01/1970,3.31
03/01/1987,18.82
01/01/1990,22.69
07/01/2005,60.71
09/01/1964,2.92
03/01/2003,31.14
03/01/2006,66.25
03/01/2020,20.51
10/01/1953,2.82
04/01/2011,113.39
10/01/1993,16.97
09/01/2004,49.56
01/01/1992,18.93
10/01/1988,13.54
12/01/2014,53.45
11/01/1988,15.42
03/01/1974,10.11
12/01/2021,75.33
01/01/2007,58.17
12/01/2022,80.16
05/01/2018,66.98
11/01/2012,88.54
01/01/2014,97.55
10/01/1961,2.97
04/01/1996,20.95
06/01/2019,58.2
08/01/1971,3.56
05/01/1964,2.97
09/01/1949,2.57
07/01/1985,27.12
10/01/2011,93.19
10/01/1946,1.52
11/01/1982,34.15
03/01/1985,28.29
01/01/2020,51.58
09/01/2021,75.22
02/01/2019,57.21
10/01/1992,20.68
08/01/2025,64.21
12/01/1970,3.56
03/01/1969,3.25
08/01/2009,69.97
09/01/2019,54.09
08/01/1950,2.57
01/01/1980,32.5
08/01/1970,3.31
